#OTU ID,tax.,Division,SubDiv.,Class,Order,Family,Genus,#OTU ID,S1.28,S1.33,S1.56,S1.63,S1.78,S2.22,S2.29,S2.56,S2.73,S2.78,S2.78.2,S3.23,S3.27,S3.55,S3.73,S3.77,S4.18,S4.22,S4.46,S4.68,S4.73,S5.13,S5.29,S5.56,S5.74,S5.88,R1.14,R1.29,R1.55,R1.55.2,R1.73,R1.89,R2.19,R2.25,R2.45,R2.63,R2.77,R3.29,R3.34,R3.57,R3.68,R3.68.2,R3.72,R4.12,R4.28,R4.45,R4.45.2,R4.64,R4.90,R5.28,R5.32,R5.32.2,R5.54,R5.77,R5.92,Control
645,"Basidiomycota; Agaricomycotina;
            Agaricomycetes",Basidiomycota,Agaricomycotina, Agaricomycetes,unknown,unknown,unknown,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,"Basidiomycota; Agaricomycotina;
            Agaricomycetes",Basidiomycota,Agaricomycotina, Agaricomycetes,unknown,unknown,unknown,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,"Basidiomycota; Agaricomycotina;
            Agaricomycetes",Basidiomycota,Agaricomycotina, Agaricomycetes,unknown,unknown,unknown,689,0,0,0,0,7,0,0,0,1,0,0,54,0,26,1,0,2,2,0,0,0,0,0,0,0,0,5,20,0,0,57,0,42,4,22,1,1,0,0,12,0,0,334,8,3,0,0,0,26,0,3,0,5,14,0,0
761,"Basidiomycota; Agaricomycotina;
            Agaricomycetes",Basidiomycota,Agaricomycotina, Agaricomycetes,unknown,unknown,unknown,761,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,"Basidiomycota; Agaricomycotina;
            Agaricomycetes",Basidiomycota,Agaricomycotina, Agaricomycetes,unknown,unknown,unknown,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
996,"Basidiomycota; Agaricomycotina;
            Agaricomycetes",Basidiomycota,Agaricomycotina, Agaricomycetes,unknown,unknown,unknown,996,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Basidiomycota; Agaricomycetes; Gomphales; Gomphaceae; Ramaria,Basidiomycota,Agaricomycotina,Agaricomycetes;,Gomphales; ,Gomphaceae; ,Ramaria,155,0,0,0,0,0,0,0,153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales,unknown,unknown,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales,unknown,unknown,235,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales,unknown,unknown,479,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales,unknown,unknown,647,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829," Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales,unknown,unknown,829,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales,unknown,unknown,907,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Inocybaceae; Inocybe",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Inocybaceae;,Inocybe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Inocybaceae; Inocybe",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Inocybaceae;,Inocybe,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
248,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Inocybaceae; Inocybe",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Inocybaceae;,Inocybe,248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352," Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Inocybaceae; Inocybe",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Inocybaceae, Inocybe,352,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Inocybaceae; Inocybe",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Inocybaceae, Inocybe,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Inocybaceae; Inocybe",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Inocybaceae, Inocybe,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Inocybaceae; Inocybe",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Inocybaceae, Inocybe,527,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
865,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Inocybaceae; Inocybe",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Inocybaceae, Inocybe,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
982,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Inocybaceae; Inocybe",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Inocybaceae, Inocybe,982,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Inocybaceae; Inocybe",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Inocybaceae, Inocybe,1055,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Strophariaceae",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Strophariaceae,unknown,585,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Basidiomycota; Agaricomycotina;
            Agaricomycetes; Agaricomycetidae; Agaricales; Strophariaceae;
            Galerina",Basidiomycota,Agaricomycotina;,Agaricomycetes;,Agaricales;,Strophariaceae, Galerina,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
